unique/np_surlevif_19151113_16_01.jpg;a newspaper clipping from the early 1900s showing ;a man in a cave with a mask
unique/np_surlevif_19151113_16_01.jpg;a black and white photo of ;a man in a cave with a mask on his face
unique/pho_2K24793_47_01.jpg;a newspaper clipping from the early 1900s showing ;a large crowd of people at a market
unique/pho_2K24793_47_01.jpg;a black and white photo of ;a group of people in tents at a camp
unique/np_surlevif_19160701_03_01.jpg;a newspaper clipping from the early 1900s showing ;a man launching a torpedo from a ship
unique/np_surlevif_19160701_03_01.jpg;a black and white photo of ;a sailor preparing to launch a torpedo from a ship
unique/depeche_19111103_P3_03.jpg;a newspaper clipping from the early 1900s showing ;a group of men on horseback
unique/depeche_19111103_P3_03.jpg;a black and white photo of ;a newspaper article from the french newspaper, la gomme, dated november 1912
unique/np_surlevif_19151120_02_06.jpg;a newspaper clipping from the early 1900s showing ;a trench in the somme
unique/np_surlevif_19151120_02_06.jpg;a black and white photo of ;soldiers in a trench during world war i
unique/np_surlevif_19160812_02_04.jpg;a newspaper clipping from the early 1900s showing ;a sandbox in the middle of a field
unique/np_surlevif_19160812_02_04.jpg;a black and white photo of ;a soldier in a shack
unique/np_guerreillustree_191701_17_04.jpg;a newspaper clipping from the early 1900s showing ;a group of women working in a factory
unique/np_guerreillustree_191701_17_04.jpg;a black and white photo of ;a group of women working in a factory
unique/btv1b53208001z_1.jpg;a newspaper clipping from the early 1900s showing ;a man in a wheelchair on the beach
unique/btv1b53208001z_1.jpg;a black and white photo of ;a man in a wheelchair on the beach
unique/np_surlevif_19151120_09_01.jpg;a newspaper clipping from the early 1900s showing ;a crashed plane in the woods
unique/np_surlevif_19151120_09_01.jpg;a black and white photo of ;a crashed plane in the woods
unique/GENF_19111202_P1_02.jpg;a newspaper clipping from the early 1900s showing ;a scene from the saharan desert
unique/GENF_19111202_P1_02.jpg;a black and white photo of ;a newspaper article from the november 19th, 1922 issue of the 'le
unique/np_surlevif_19160122_05_05.jpg;a newspaper clipping from the early 1900s showing ;a train station in a small town
unique/np_surlevif_19160122_05_05.jpg;a black and white photo of ;a train station in the middle of a field
unique/np_surlevif_19160415_08_02.jpg;a newspaper clipping from the early 1900s showing ;soldiers in the snow
unique/np_surlevif_19160415_08_02.jpg;a black and white photo of ;soldiers in the snow
unique/np_surlevif_19160819_11_04.jpg;a newspaper clipping from the early 1900s showing ;a ruined house in the sands of a river
unique/np_surlevif_19160819_11_04.jpg;a black and white photo of ;a destroyed village in the aftermath of the battle of st etienne
unique/np_guerreillustree_191806_13_02.jpg;a newspaper clipping from the early 1900s showing ;a group of people walking along the beach
